
Ord.	Intérprete - Música
177	Monica - Don't Take It Personal (Just One Of Dem Days)
178	Montell Jordan - This Is How We Do It
179	N. B. G. - Don't Go Away From Love
180	Natalie Merchant - Carnival
181	Naughty By Nature - Feel Me Flow
182	Nicki French - Did You Ever Really Love Me?
183	Nicki French - Stop! In The Name Of Love
184	Nicki French - Total Eclipse Of The Heart
185	Novecento - Day And Night
186	N-Trance - Set You Free
187	N-Trance - Stayn' Alive
188	Oasis - Some Might Say
189	Paralamas do Sucesso - Luiz Inácio (300 picaretas)
190	Paralamas do Sucesso - Uma brasileira
191	Paula Abdul - My Love Is For Real
192	Pearl Jam - Better Man
193	Pet Shop Boys - Paniraro 95
194	Planet Hemp - Legalize já
195	Planet Hemp - Mantenha o respeito
196	Playahitty - 1, 2, 3! (Train With Me)
197	Queen - Heaven For Everyone
198	R.E.M. - Bang And Blame
199	R.E.M. - Crush With Eyeliner
200	Radiohead - Fake Plastic Tree
201	Radiorama - Let Me Be
202	Raffi - Sentimiento
203	Raimundos - I Saw You Saying
204	Real McCoy - Come And Get Your Love
205	Real McCoy - Run Away
206	Red Box - Lean On Me (Ah-Li-Ayo)
207	Red Velvet - Lady Don't Cry
208	Rednex - Cotton Eye Joe
209	Rednex - Old Pop In An Oak
210	Rednex - Wish You Were Here
211	Renato Russo - La Forza Della Vita
212	Renato Russo - La Solitudine
213	Renato Russo - Strani Amori
214	Richy - Set Me Free
215	Robyn - Do You Really Want Me (Show Respect)
216	Rochelle - Think Twice
217	Roman Photo - Sounds Of Summer
218	Roxette - June Afternoon
219	Roxette - You Don't Understand Me
220	Scatman John - Scatman
221	Scatman John - Scatman World's
222	Seal - Kiss From A Rose
223	Selena - Dreaming Of You
224	Selena - I Could Fall In Love
225	Serena - Ridin' High
226	Shaggy - Boombastic
227	Shaggy - In The Summertime
228	Sheryl Crow - Can't Cry Anymore
229	Sheryl Crow - D'yer Mak'er
230	Sheryl Crow - Strong Enough
231	Simone - Então é Natal
232	Simonny - Primeiros erros
233	Simply Red - Fairground
234	Skank - Amolação
235	Skank - O beijo e a reza
236	Sophie B. Hawkins - As I Lay Me Down
237	Soul Asylum - Misery
238	Soul For Real - Every Little Thing I Do
239	Soul For Real - Candy Rain
240	Supergrass - Alright
241	Take That - Back For Good
242	Take That - Never Forget
243	Taleesa - Burning Up
244	Tatjana - Santa Maria
245	The Eagles - Love Will Keep Us Alive
246	The Notorious B.I.G. - One More Chance
247	The Outhere Brothers - Boom Boom Boom
248	The Rembrandts - I'll Be There For You
249	The Rolling Stones - Like A Rolling Stone
250	Titãs - Domingo
251	Titãs - Eu não aguento
252	Titãs - Eu não vou dizer nada
253	TLC - Creep
254	TLC - Red Light Special
255	TLC - Waterfalls
256	TLC - Diggin' On You
257	Tom Petty & The Heartbreakers - You Don't Know How It Feels
258	Toni Braxton - I Belong To You
259	Total Feat. The Notorious B.I.G. - Can't You See
260	U2 - Hold Me, Thrill Me, Kiss Me, Kill Me
261	Van Halen - Can't Stop Loving You
262	Vanessa Williams - The Sweetest Days
263	Vanessa Williams - Colors Of The Wind
264	Vangelis - Conquest Of Paradise
265	Venus - Amores Extraños
266	Vinny - Tanto faz
267	Whigfield - Big Time
268	Whigfield - Think Of You
269	Whitney Houston - Exhale (Shoop Shoop)
270	Xscape - Who Can I Run To
271	Ziggy Marley & The Melody Makers - The Power To Move Ya
